,X,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.tip,notes
1920,1920,1316,Limnorn_curvi_L52024,Limnornis curvirostris,-,Limnornis curvirostris,Limnornis curvirostris,Limnornis curvirostris,Furnariidae,Limnornis_curvirostris,
1921,1921,882,Liosce_thocus_GJUR46,Liosceles thoracicus,thoracicus,Liosceles thoracicus,Liosceles thoracicus,Liosceles thoracicus,Rhinocryptidae,Liosceles_thoracicus,
1922,1922,882,Liosce_thocus_GJUR46,Liosceles thoracicus,thoracicus,Liosceles thoracicus,Liosceles thoracicus,Liosceles thoracicus,Rhinocryptidae,Liosceles_thoracicus,
1923,1923,200025,Lipau_fuscin_H5187,Lipaugus fuscocinereus,,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Cotingidae,Lipaugus_fuscocinereus,
1924,1924,2996,Lipau_fuscin_IC33464,Lipaugus fuscocinereus,-,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Cotingidae,Lipaugus_fuscocinereus,
1925,1925,200025,Lipau_fuscin_H5187,Lipaugus fuscocinereus,,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Cotingidae,Lipaugus_fuscocinereus,
1926,1926,2996,Lipau_fuscin_IC33464,Lipaugus fuscocinereus,-,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Lipaugus fuscocinereus,Cotingidae,Lipaugus_fuscocinereus,
1927,1927,3004,Lipau_lanides_SP91038,Lipaugus lanioides,-,Lipaugus lanioides,Lipaugus lanioides,Lipaugus lanioides,Cotingidae,Lipaugus_lanioides,
1928,1928,3004,Lipau_lanides_SP91038,Lipaugus lanioides,-,Lipaugus lanioides,Lipaugus lanioides,Lipaugus lanioides,Cotingidae,Lipaugus_lanioides,
1929,1929,3006,Lipau_strrus_K4008,Lipaugus streptophorus,-,Lipaugus streptophorus,Lipaugus streptophorus,Lipaugus streptophorus,Cotingidae,Lipaugus_streptophorus,
1930,1930,3006,Lipau_strrus_K4008,Lipaugus streptophorus,-,Lipaugus streptophorus,Lipaugus streptophorus,Lipaugus streptophorus,Cotingidae,Lipaugus_streptophorus,
1931,1931,3006,Lipau_strrus_K4008,Lipaugus streptophorus,-,Lipaugus streptophorus,Lipaugus streptophorus,Lipaugus streptophorus,Cotingidae,Lipaugus_streptophorus,
1932,1932,3001,Lipau_unifus_L11747,Lipaugus unirufus,castaneotinctus,Lipaugus unirufus,Lipaugus unirufus,Lipaugus unirufus,Cotingidae,Lipaugus_unirufus,
1933,1933,3000,Lipau_unifus_L72146,Lipaugus unirufus,unirufus,Lipaugus unirufus,Lipaugus unirufus,Lipaugus unirufus,Cotingidae,Lipaugus_unirufus,
1934,1934,3001,Lipau_unifus_L11747,Lipaugus unirufus,castaneotinctus,Lipaugus unirufus,Lipaugus unirufus,Lipaugus unirufus,Cotingidae,Lipaugus_unirufus,
1935,1935,3000,Lipau_unifus_L72146,Lipaugus unirufus,unirufus,Lipaugus unirufus,Lipaugus unirufus,Lipaugus unirufus,Cotingidae,Lipaugus_unirufus,
1936,1936,2998,Lipau_urolis_L58450,Lipaugus uropygialis,-,Lipaugus uropygialis,Lipaugus uropygialis,Lipaugus uropygialis,Cotingidae,Lipaugus_uropygialis,
1937,1937,2999,Lipau_urolis_SM24135,Lipaugus uropygialis,-,Lipaugus uropygialis,Lipaugus uropygialis,Lipaugus uropygialis,Cotingidae,Lipaugus_uropygialis,
1938,1938,2998,Lipau_urolis_L58450,Lipaugus uropygialis,-,Lipaugus uropygialis,Lipaugus uropygialis,Lipaugus uropygialis,Cotingidae,Lipaugus_uropygialis,
1939,1939,2999,Lipau_urolis_SM24135,Lipaugus uropygialis,-,Lipaugus uropygialis,Lipaugus uropygialis,Lipaugus uropygialis,Cotingidae,Lipaugus_uropygialis,
1940,1940,3003,Lipau_vocran_GUNA27,Lipaugus vociferans,-,Lipaugus vociferans,Lipaugus vociferans,Lipaugus vociferans,Cotingidae,Lipaugus_vociferans,
1941,1941,200026,Lipau_vocran_L11030,Lipaugus vociferans,,Lipaugus vociferans,Lipaugus vociferans,Lipaugus vociferans,Cotingidae,Lipaugus_vociferans,
1942,1942,3002,Lipau_vocran_L3149,Lipaugus vociferans,-,Lipaugus vociferans,Lipaugus vociferans,Lipaugus vociferans,Cotingidae,Lipaugus_vociferans,
1943,1943,3003,Lipau_vocran_GUNA27,Lipaugus vociferans,-,Lipaugus vociferans,Lipaugus vociferans,Lipaugus vociferans,Cotingidae,Lipaugus_vociferans,
1944,1944,200026,Lipau_vocran_L11030,Lipaugus vociferans,,Lipaugus vociferans,Lipaugus vociferans,Lipaugus vociferans,Cotingidae,Lipaugus_vociferans,
1945,1945,3002,Lipau_vocran_L3149,Lipaugus vociferans,-,Lipaugus vociferans,Lipaugus vociferans,Lipaugus vociferans,Cotingidae,Lipaugus_vociferans,
1946,1946,200524,Lipau_vocran_MPEGUNA027,Lipaugus vociferans,1,Lipaugus vociferans,Lipaugus vociferans,Lipaugus vociferans,Cotingidae,Lipaugus_vociferans,name differs error in tip name?
1947,1947,200524,Lipau_vocran_MPEGUNA027,Lipaugus vociferans,1,Lipaugus vociferans,Lipaugus vociferans,Lipaugus vociferans,Cotingidae,Lipaugus_vociferans,name differs error in tip name?
1948,1948,2994,Lipau_weberi_H2080,Lipaugus weberi,-,Lipaugus weberi,Lipaugus weberi,Lipaugus weberi,Cotingidae,NA,
1949,1949,200027,Lipau_weberi_H4853,Lipaugus weberi,-,Lipaugus weberi,Lipaugus weberi,Lipaugus weberi,Cotingidae,NA,
1950,1950,2994,Lipau_weberi_H2080,Lipaugus weberi,-,Lipaugus weberi,Lipaugus weberi,Lipaugus weberi,Cotingidae,NA,
1951,1951,200027,Lipau_weberi_H4853,Lipaugus weberi,-,Lipaugus weberi,Lipaugus weberi,Lipaugus weberi,Cotingidae,NA,
1952,1952,1304,Lochmi_nemat_A12074,Lochmias nematura,nematura,Lochmias nematura,Lochmias nematura,Lochmias nematura,Furnariidae,Lochmias_nematura,
1953,1953,1306,Lochmi_nemat_L38510,Lochmias nematura,obscurata,Lochmias nematura,Lochmias nematura,Lochmias nematura,Furnariidae,Lochmias_nematura,
1954,1954,1304,Lochmi_nemat_A12074,Lochmias nematura,nematura,Lochmias nematura,Lochmias nematura,Lochmias nematura,Furnariidae,Lochmias_nematura,
1955,1955,1306,Lochmi_nemat_L38510,Lochmias nematura,obscurata,Lochmias nematura,Lochmias nematura,Lochmias nematura,Furnariidae,Lochmias_nematura,
1956,1956,1304,Lochmi_nemat_A12074,Lochmias nematura,nematura,Lochmias nematura,Lochmias nematura,Lochmias nematura,Furnariidae,Lochmias_nematura,
1957,1957,1306,Lochmi_nemat_L38510,Lochmias nematura,obscurata,Lochmias nematura,Lochmias nematura,Lochmias nematura,Furnariidae,Lochmias_nematura,
1958,1958,2185,Lophot_eulo_L9303,Lophotriccus eulophotes,ssp.,Lophotriccus eulophotes,Lophotriccus eulophotes,Lophotriccus eulophotes,Pipromorphidae,Lophotriccus_eulophotes,
1959,1959,2187,Lophot_galtus_L48336,Lophotriccus galeatus,-,Lophotriccus galeatus,Lophotriccus galeatus,Lophotriccus galeatus,Pipromorphidae,Lophotriccus_galeatus,
1960,1960,2187,Lophot_galtus_L48336,Lophotriccus galeatus,-,Lophotriccus galeatus,Lophotriccus galeatus,Lophotriccus galeatus,Pipromorphidae,Lophotriccus_galeatus,
1961,1961,2177,Lophot_piltus_H1935,Lophotriccus pileatus,squamaecrista,Lophotriccus pileatus,Lophotriccus pileatus,Lophotriccus pileatus,Pipromorphidae,Lophotriccus_pileatus,
1962,1962,2178,Lophot_piltus_L44510,Lophotriccus pileatus,pileatus,Lophotriccus pileatus,Lophotriccus pileatus,Lophotriccus pileatus,Pipromorphidae,Lophotriccus_pileatus,
1963,1963,2179,Lophot_piltus_LSUMZ66108,Lophotriccus pileatus,Tumbes,Lophotriccus pileatus,Lophotriccus pileatus,Lophotriccus pileatus,Pipromorphidae,Lophotriccus_pileatus,
1964,1964,2177,Lophot_piltus_H1935,Lophotriccus pileatus,squamaecrista,Lophotriccus pileatus,Lophotriccus pileatus,Lophotriccus pileatus,Pipromorphidae,Lophotriccus_pileatus,
1965,1965,2178,Lophot_piltus_L44510,Lophotriccus pileatus,pileatus,Lophotriccus pileatus,Lophotriccus pileatus,Lophotriccus pileatus,Pipromorphidae,Lophotriccus_pileatus,
1966,1966,2179,Lophot_piltus_LSUMZ66108,Lophotriccus pileatus,Tumbes,Lophotriccus pileatus,Lophotriccus pileatus,Lophotriccus pileatus,Pipromorphidae,Lophotriccus_pileatus,
1967,1967,2181,Lophot_vitsus_A18368,Lophotriccus vitiosus,vitiosus,Lophotriccus vitiosus,Lophotriccus vitiosus,Lophotriccus vitiosus,Pipromorphidae,Lophotriccus_vitiosus,
