,X,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.tip,notes
350,350,60001,Cercmac_cincen_INPA1179,Cercomacra cinerascens,,Cercomacra cinerascens,Cercomacra cinerascens,Cercomacra cinerascens,Thamnophilidae,Cercomacra_cinerascens,
351,351,546,Cercmac_ferdi_MZUSP81148,Cercomacra ferdinandi,-,Cercomacra ferdinandi,Cercomacra ferdinandi,Cercomacra ferdinandi,Thamnophilidae,Cercomacra_ferdinandi,
352,352,546,Cercmac_ferdi_MZUSP81148,Cercomacra ferdinandi,-,Cercomacra ferdinandi,Cercomacra ferdinandi,Cercomacra ferdinandi,Thamnophilidae,Cercomacra_ferdinandi,
353,353,544,Cercmac_manu_LSU9096,Cercomacra manu,-,Cercomacra manu,Cercomacra manu,Cercomacra manu,Thamnophilidae,Cercomacra_manu,
354,354,544,Cercmac_manu_LSU9096,Cercomacra manu,-,Cercomacra manu,Cercomacra manu,Cercomacra manu,Thamnophilidae,Cercomacra_manu,
355,355,544,Cercmac_manu_LSU9096,Cercomacra manu,-,Cercomacra manu,Cercomacra manu,Cercomacra manu,Thamnophilidae,Cercomacra_manu,
356,356,542,Cercmac_melria_LSU68306,Cercomacra melanaria,-,Cercomacra melanaria,Cercomacra melanaria,Cercomacra melanaria,Thamnophilidae,Cercomacra_melanaria,
357,357,542,Cercmac_melria_LSU68306,Cercomacra melanaria,-,Cercomacra melanaria,Cercomacra melanaria,Cercomacra melanaria,Thamnophilidae,Cercomacra_melanaria,
358,358,538,Cercmac_nigcan_LSU2277,Cercomacra nigricans,-,Cercomacra nigricans,Cercomacra nigricans,Cercomacra nigricans,Thamnophilidae,Cercomacra_nigricans,
359,359,538,Cercmac_nigcan_LSU2277,Cercomacra nigricans,-,Cercomacra nigricans,Cercomacra nigricans,Cercomacra nigricans,Thamnophilidae,Cercomacra_nigricans,
360,360,538,Cercmac_nigcan_LSU2277,Cercomacra nigricans,-,Cercomacra nigricans,Cercomacra nigricans,Cercomacra nigricans,Thamnophilidae,Cercomacra_nigricans,
361,361,NA,,Cercomacroides nigrescens,,Cercomacroides fuscicauda,Cercomacroides fuscicauda,Cercomacroides fuscicauda,Thamnophilidae,Cercomacra_nigrescens,missing from tree
362,362,528,Cercides_laeta_MPEGBAR026,Cercomacroides laeta,laeta,Cercomacroides laeta,Cercomacroides laeta,Cercomacroides laeta,Thamnophilidae,Cercomacra_tyrannina,
363,363,528,Cercides_laeta_MPEGBAR026,Cercomacroides laeta,laeta,Cercomacroides laeta,Cercomacroides laeta,Cercomacroides laeta,Thamnophilidae,Cercomacra_tyrannina,
364,364,534,Cercides_nigcen_LSUMZ1764,Cercomacroides nigrescens,approximans,Cercomacroides nigrescens,Cercomacroides nigrescens,Cercomacroides nigrescens,Thamnophilidae,Cercomacra_nigrescens,
365,365,532,Cercides_nigcen_YPM137453,Cercomacroides nigrescens,nigrescens,Cercomacroides nigrescens,Cercomacroides nigrescens,Cercomacroides nigrescens,Thamnophilidae,Cercomacra_nigrescens,
366,366,532,Cercides_nigcen_YPM137453,Cercomacroides nigrescens,nigrescens,Cercomacroides nigrescens,Cercomacroides nigrescens,Cercomacroides nigrescens,Thamnophilidae,Cercomacra_nigrescens,
367,367,532,Cercides_nigcen_YPM137453,Cercomacroides nigrescens,nigrescens,Cercomacroides nigrescens,Cercomacroides nigrescens,Cercomacroides nigrescens,Thamnophilidae,Cercomacra_nigrescens,
368,368,534,Cercides_nigcen_LSUMZ1764,Cercomacroides nigrescens,approximans,Cercomacroides nigrescens,Cercomacroides nigrescens,Cercomacroides nigrescens,Thamnophilidae,Cercomacra_nigrescens,
369,369,530,Cercides_pareri_IAvHBT4784,Cercomacroides parkeri,-,Cercomacroides parkeri,Cercomacroides parkeri,Cercomacroides parkeri,Thamnophilidae,Cercomacra_tyrannina,
370,370,530,Cercides_pareri_IAvHBT4784,Cercomacroides parkeri,-,Cercomacroides parkeri,Cercomacroides parkeri,Cercomacroides parkeri,Thamnophilidae,Cercomacra_tyrannina,
371,371,536,Cercmac_serva_LSU74180,Cercomacra serva,-,Cercomacroides serva,Cercomacroides serva,Cercomacroides serva,Thamnophilidae,Cercomacra_serva,
372,372,536,Cercmac_serva_LSU74180,Cercomacra serva,-,Cercomacroides serva,Cercomacroides serva,Cercomacroides serva,Thamnophilidae,Cercomacra_serva,
373,373,524,Cercides_tyrina_L2273,Cercomacroides tyrannina,tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Thamnophilidae,Cercomacra_tyrannina,
374,374,524,Cercides_tyrina_L2273,Cercomacroides tyrannina,tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Thamnophilidae,Cercomacra_tyrannina,
375,375,524,Cercides_tyrina_L2273,Cercomacroides tyrannina,tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Thamnophilidae,Cercomacra_tyrannina,
376,376,524,Cercides_tyrina_L2273,Cercomacroides tyrannina,tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Thamnophilidae,Cercomacra_tyrannina,
377,377,60006,Cercides_tyrina_LSU55255,Cercomacroides tyrannina,,Cercomacroides tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Thamnophilidae,Cercomacra_tyrannina,
378,378,60005,Cercides_tyrina_INPA1982,Cercomacroides tyrannina,,Cercomacroides tyrannina,Cercomacroides tyrannina,Cercomacroides tyrannina,Thamnophilidae,Cercomacra_tyrannina,
379,379,3323,Certhia_L64261,Certhia familiaris,?,Certhia familiaris,Certhia familiaris,Certhia familiaris,Certhiidae,NA,outgroup
380,380,1102,Certhsom_stimus_L35367,Certhiasomus stictolaemus,stictolaemus,Certhiasomus stictolaemus,Certhiasomus stictolaemus,Certhiasomus stictolaemus,Dendrocolaptidae,Deconychura_stictolaema,
381,381,1102,Certhsom_stimus_L35367,Certhiasomus stictolaemus,stictolaemus,Certhiasomus stictolaemus,Certhiasomus stictolaemus,Certhiasomus stictolaemus,Dendrocolaptidae,Deconychura_stictolaema,
382,382,1691,Certhxis_cinmeus_SB04092,Certhiaxis cinnamomeus,cinnamomeus,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,Furnariidae,Certhiaxis_cinnamomeus,
383,383,1691,Certhxis_cinmeus_SB04092,Certhiaxis cinnamomeus,cinnamomeus,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,Furnariidae,Certhiaxis_cinnamomeus,
384,384,1691,Certhxis_cinmeus_SB04092,Certhiaxis cinnamomeus,cinnamomeus,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,Furnariidae,Certhiaxis_cinnamomeus,
385,385,1695,Certhxis_mustel_L45889,Certhiaxis mustelinus,-,Certhiaxis mustelinus,Certhiaxis mustelinus,Certhiaxis mustelinus,Furnariidae,Certhiaxis_mustelinus,
386,386,1695,Certhxis_mustel_L45889,Certhiaxis mustelinus,-,Certhiaxis mustelinus,Certhiaxis mustelinus,Certhiaxis mustelinus,Furnariidae,Certhiaxis_mustelinus,
387,387,1695,Certhxis_mustel_L45889,Certhiaxis mustelinus,-,Certhiaxis mustelinus,Certhiaxis mustelinus,Certhiaxis mustelinus,Furnariidae,Certhiaxis_mustelinus,
388,388,1695,Certhxis_mustel_L45889,Certhiaxis mustelinus,-,Certhiaxis mustelinus,Certhiaxis mustelinus,Certhiaxis mustelinus,Furnariidae,Certhiaxis_mustelinus,
389,389,1033,Cham_camson_L25883,Chamaeza campanisona,campanisona,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
390,390,1035,Cham_camson_L48448,Chamaeza campanisona,fulvescens,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
391,391,1033,Cham_camson_L25883,Chamaeza campanisona,campanisona,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
392,392,1035,Cham_camson_L48448,Chamaeza campanisona,fulvescens,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
393,393,1043,Cham_camson_ICN35539,Chamaeza campanisona,columbiana,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
394,394,1039,Cham_camson_USNM575267,Chamaeza campanisona,venezuelana,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
395,395,1043,Cham_camson_ICN35539,Chamaeza campanisona,columbiana,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
396,396,1033,Cham_camson_L25883,Chamaeza campanisona,campanisona,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
397,397,1035,Cham_camson_L48448,Chamaeza campanisona,fulvescens,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
398,398,1039,Cham_camson_USNM575267,Chamaeza campanisona,venezuelana,Chamaeza campanisona,Chamaeza campanisona,Chamaeza campanisona,Formicariidae,Chamaeza_campanisona,
399,399,1052,Cham_meride_MZU91667,Chamaeza meruloides,-,Chamaeza meruloides,Chamaeza meruloides,Chamaeza meruloides,Formicariidae,Chamaeza_meruloides,
400,400,1051,Cham_meride_MPEGSB54,Chamaeza meruloides,-,Chamaeza meruloides,Chamaeza meruloides,Chamaeza meruloides,Formicariidae,Chamaeza_meruloides,
401,401,1052,Cham_meride_MZU91667,Chamaeza meruloides,-,Chamaeza meruloides,Chamaeza meruloides,Chamaeza meruloides,Formicariidae,Chamaeza_meruloides,
402,402,1051,Cham_meride_MPEGSB54,Chamaeza meruloides,-,Chamaeza meruloides,Chamaeza meruloides,Chamaeza meruloides,Formicariidae,Chamaeza_meruloides,
403,403,1058,Cham_molsim_IAvHBT7308,Chamaeza mollissima,mollissima,Chamaeza mollissima,Chamaeza mollissima,Chamaeza mollissima,Formicariidae,Chamaeza_mollissima,
404,404,1058,Cham_molsim_IAvHBT7308,Chamaeza mollissima,mollissima,Chamaeza mollissima,Chamaeza mollissima,Chamaeza mollissima,Formicariidae,Chamaeza_mollissima,
405,405,1047,Cham_nobil_L40713,Chamaeza nobilis,nobilis,Chamaeza nobilis,Chamaeza nobilis,Chamaeza nobilis,Formicariidae,Chamaeza_nobilis,
406,406,1047,Cham_nobil_L40713,Chamaeza nobilis,nobilis,Chamaeza nobilis,Chamaeza nobilis,Chamaeza nobilis,Formicariidae,Chamaeza_nobilis,
407,407,1049,Cham_nobil_MPEGFAL20,Chamaeza nobilis,fulvipectus,Chamaeza nobilis,Chamaeza nobilis,Chamaeza nobilis,Formicariidae,Chamaeza_nobilis,
408,408,1049,Cham_nobil_MPEGFAL20,Chamaeza nobilis,fulvipectus,Chamaeza nobilis,Chamaeza nobilis,Chamaeza nobilis,Formicariidae,Chamaeza_nobilis,
409,409,1055,Cham_rufuda_FURB13361,Chamaeza ruficauda,,Chamaeza ruficauda,Chamaeza ruficauda,Chamaeza ruficauda,Formicariidae,Chamaeza_ruficauda,
410,410,1055,Cham_rufuda_FURB13361,Chamaeza ruficauda,,Chamaeza ruficauda,Chamaeza ruficauda,Chamaeza ruficauda,Formicariidae,Chamaeza_ruficauda,
411,411,1055,Cham_rufuda_FURB13361,Chamaeza ruficauda,,Chamaeza ruficauda,Chamaeza ruficauda,Chamaeza ruficauda,Formicariidae,Chamaeza_ruficauda,
412,412,1053,Cham_turdi_ICN35838,Chamaeza turdina,turdina,Chamaeza turdina,Chamaeza turdina,Chamaeza turdina,Formicariidae,Chamaeza_turdina,
413,413,1057,Cham_turdi_USNM595636,Chamaeza turdina,chionogaster,Chamaeza turdina,Chamaeza turdina,Chamaeza turdina,Formicariidae,Chamaeza_turdina,
414,414,1053,Cham_turdi_ICN35838,Chamaeza turdina,turdina,Chamaeza turdina,Chamaeza turdina,Chamaeza turdina,Formicariidae,Chamaeza_turdina,
415,415,1057,Cham_turdi_USNM595636,Chamaeza turdina,chionogaster,Chamaeza turdina,Chamaeza turdina,Chamaeza turdina,Formicariidae,Chamaeza_turdina,
416,416,1053,Cham_turdi_ICN35838,Chamaeza turdina,turdina,Chamaeza turdina,Chamaeza turdina,Chamaeza turdina,Formicariidae,Chamaeza_turdina,
417,417,3075,Chirox_bolana_L39150,Chiroxiphia boliviana,-,Chiroxiphia boliviana,Chiroxiphia boliviana,Chiroxiphia boliviana,Pipridae,Chiroxiphia_boliviana,
418,418,3075,Chirox_bolana_L39150,Chiroxiphia boliviana,-,Chiroxiphia boliviana,Chiroxiphia boliviana,Chiroxiphia boliviana,Pipridae,Chiroxiphia_boliviana,
419,419,3075,Chirox_bolana_L39150,Chiroxiphia boliviana,-,Chiroxiphia boliviana,Chiroxiphia boliviana,Chiroxiphia boliviana,Pipridae,Chiroxiphia_boliviana,
420,420,3077,Chirox_cauata_A2458,Chiroxiphia caudata,-,Chiroxiphia caudata,Chiroxiphia caudata,Chiroxiphia caudata,Pipridae,Chiroxiphia_caudata,
421,421,3077,Chirox_cauata_A2458,Chiroxiphia caudata,-,Chiroxiphia caudata,Chiroxiphia caudata,Chiroxiphia caudata,Pipridae,Chiroxiphia_caudata,
422,422,3077,Chirox_cauata_A2458,Chiroxiphia caudata,-,Chiroxiphia caudata,Chiroxiphia caudata,Chiroxiphia caudata,Pipridae,Chiroxiphia_caudata,
423,423,3071,Chirox_lanata_L46674,Chiroxiphia lanceolata,-,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Pipridae,Chiroxiphia_lanceolata,
424,424,3071,Chirox_lanata_L46674,Chiroxiphia lanceolata,-,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Pipridae,Chiroxiphia_lanceolata,
425,425,3071,Chirox_lanata_L46674,Chiroxiphia lanceolata,-,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Pipridae,Chiroxiphia_lanceolata,
426,426,3069,Chirox_linris_W104044,Chiroxiphia linearis,linearis,Chiroxiphia linearis,Chiroxiphia linearis,Chiroxiphia linearis,Pipridae,Chiroxiphia_linearis,
427,427,3069,Chirox_linris_W104044,Chiroxiphia linearis,linearis,Chiroxiphia linearis,Chiroxiphia linearis,Chiroxiphia linearis,Pipridae,Chiroxiphia_linearis,
428,428,3073,Chirox_parola_MPEGPEMA18,Chiroxiphia pareola,pareola,Chiroxiphia pareola,Chiroxiphia pareola,Chiroxiphia pareola,Pipridae,Chiroxiphia_pareola,
429,429,3073,Chirox_parola_MPEGPEMA18,Chiroxiphia pareola,pareola,Chiroxiphia pareola,Chiroxiphia pareola,Chiroxiphia pareola,Pipridae,Chiroxiphia_pareola,
430,430,3320,Chlamy_nuclis_A19590,Chlamydera nuchalis,nuchalis,Chlamydera nuchalis,Chlamydera nuchalis,Chlamydera nuchalis,Ptilonorhynchidae,NA,outgroup
431,431,3320,Chlamy_nuclis_A19590,Chlamydera nuchalis,nuchalis,Chlamydera nuchalis,Chlamydera nuchalis,Chlamydera nuchalis,Ptilonorhynchidae,NA,outgroup
432,432,3085,Chloro_flavla_H7851,Chloropipo flavicapilla,-,Chloropipo flavicapilla,Chloropipo flavicapilla,Chloropipo flavicapilla,Pipridae,Xenopipo_flavicapilla,
433,433,3085,Chloro_flavla_H7851,Chloropipo flavicapilla,-,Chloropipo flavicapilla,Chloropipo flavicapilla,Chloropipo flavicapilla,Pipridae,Xenopipo_flavicapilla,
434,434,3087,Chloro_unico_FMNH474328,Chloropipo unicolor,-,Chloropipo unicolor,Chloropipo unicolor,Chloropipo unicolor,Pipridae,Xenopipo_unicolor,
435,435,3087,Chloro_unico_FMNH474328,Chloropipo unicolor,-,Chloropipo unicolor,Chloropipo unicolor,Chloropipo unicolor,Pipridae,Xenopipo_unicolor,
436,436,1364,Cichlo_leuphru_SP76486,Cichlocolaptes leucophrus,leucophrus,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus,Furnariidae,Cichlocolaptes_leucophrus,
437,437,1364,Cichlo_leuphru_SP76486,Cichlocolaptes leucophrus,leucophrus,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus,Furnariidae,Cichlocolaptes_leucophrus,
438,438,NA,,Cichlocolaptes leucophrus,,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus,Cichlocolaptes holti,Furnariidae,Cichlocolaptes_leucophrus,missing from tree and split by IUCN
439,439,NA,,Cichlocolaptes mazarbarnetti,,Cichlocolaptes mazarbarnetti,Cichlocolaptes mazarbarnetti,Cichlocolaptes mazarbarnetti,Furnariidae,NA,missing from tree
440,440,1336,Cincl_albven_LSUMZ32706,Cinclodes albidiventris,albidiventris,Cinclodes albidiventris,Cinclodes albidiventris,Cinclodes albidiventris,Furnariidae,Cinclodes_fuscus,
441,441,1336,Cincl_albven_LSUMZ32706,Cinclodes albidiventris,albidiventris,Cinclodes albidiventris,Cinclodes albidiventris,Cinclodes albidiventris,Furnariidae,Cinclodes_fuscus,
442,442,1340,Cincl_albtri_L22572,Cinclodes albiventris,albiventris,Cinclodes albiventris,Cinclodes albiventris,Cinclodes albiventris,Furnariidae,Cinclodes_fuscus,
443,443,1340,Cincl_albtri_L22572,Cinclodes albiventris,albiventris,Cinclodes albiventris,Cinclodes albiventris,Cinclodes albiventris,Furnariidae,Cinclodes_fuscus,
444,444,1332,Cincl_antcus_A817070,Cinclodes antarcticus,antarcticus?,Cinclodes antarcticus,Cinclodes antarcticus,Cinclodes maculirostris,Furnariidae,Cinclodes_antarcticus,
445,445,1332,Cincl_antcus_A817070,Cinclodes antarcticus,antarcticus?,Cinclodes antarcticus,Cinclodes antarcticus,Cinclodes maculirostris,Furnariidae,Cinclodes_antarcticus,
446,446,200433,Cincl_antcus_WYT1,Cinclodes antarcticus,,Cinclodes antarcticus,Cinclodes antarcticus,Cinclodes antarcticus,Furnariidae,Cinclodes_antarcticus,need to figure out locality to know if maculirostris or antarcticus (Falklands)
447,447,200434,Cincl_antcus_WYT17,Cinclodes antarcticus,,Cinclodes antarcticus,Cinclodes antarcticus,Cinclodes antarcticus,Furnariidae,Cinclodes_antarcticus,need to figure out locality to know if maculirostris or antarcticus (Falklands)
448,448,200433,Cincl_antcus_WYT1,Cinclodes antarcticus,,Cinclodes antarcticus,Cinclodes antarcticus,Cinclodes antarcticus,Furnariidae,Cinclodes_antarcticus,need to figure out locality to know if maculirostris or antarcticus (Falklands)
449,449,200434,Cincl_antcus_WYT17,Cinclodes antarcticus,,Cinclodes antarcticus,Cinclodes antarcticus,Cinclodes antarcticus,Furnariidae,Cinclodes_antarcticus,need to figure out locality to know if maculirostris or antarcticus (Falklands)
450,450,1346,Cincl_arico_F391866,Cinclodes aricomae,-,Cinclodes aricomae,Cinclodes aricomae,Cinclodes aricomae,Furnariidae,Cinclodes_aricomae,
451,451,1346,Cincl_arico_F391866,Cinclodes aricomae,-,Cinclodes aricomae,Cinclodes aricomae,Cinclodes aricomae,Furnariidae,Cinclodes_aricomae,
452,452,1350,Cincl_ataca_L17163,Cinclodes atacamensis,?,Cinclodes atacamensis,Cinclodes atacamensis,Cinclodes atacamensis,Furnariidae,Cinclodes_atacamensis,
453,453,1334,Cincl_comec_ARTC356,Cinclodes comechingonus,comechingonus,Cinclodes comechingonus,Cinclodes comechingonus,Cinclodes comechingonus,Furnariidae,Cinclodes_comechingonus,
454,454,1344,Cincl_excior_L5935,Cinclodes excelsior,excelsior,Cinclodes excelsior,Cinclodes excelsior,Cinclodes excelsior,Furnariidae,Cinclodes_excelsior,
455,455,1344,Cincl_excior_L5935,Cinclodes excelsior,excelsior,Cinclodes excelsior,Cinclodes excelsior,Cinclodes excelsior,Furnariidae,Cinclodes_excelsior,
456,456,1344,Cincl_excior_L5935,Cinclodes excelsior,excelsior,Cinclodes excelsior,Cinclodes excelsior,Cinclodes excelsior,Furnariidae,Cinclodes_excelsior,
457,457,1330,Cincl_fuscus_ARTC418,Cinclodes fuscus,fuscus,Cinclodes fuscus,Cinclodes fuscus,Cinclodes fuscus,Furnariidae,Cinclodes_fuscus,
458,458,1330,Cincl_fuscus_ARTC418,Cinclodes fuscus,fuscus,Cinclodes fuscus,Cinclodes fuscus,Cinclodes fuscus,Furnariidae,Cinclodes_fuscus,
459,459,1356,Cincl_nigrofum_ARTC413,Cinclodes nigrofumosus,-,Cinclodes nigrofumosus,Cinclodes nigrofumosus,Cinclodes nigrofumosus,Furnariidae,Cinclodes_nigrofumosus,
460,460,1356,Cincl_nigrofum_ARTC413,Cinclodes nigrofumosus,-,Cinclodes nigrofumosus,Cinclodes nigrofumosus,Cinclodes nigrofumosus,Furnariidae,Cinclodes_nigrofumosus,
461,461,1338,Cincl_olrogi_ARTC355,Cinclodes olrogi,olrogi,Cinclodes olrogi,Cinclodes olrogi,Cinclodes olrogi,Furnariidae,Cinclodes_oustaleti,
462,462,1338,Cincl_olrogi_ARTC355,Cinclodes olrogi,olrogi,Cinclodes olrogi,Cinclodes olrogi,Cinclodes olrogi,Furnariidae,Cinclodes_oustaleti,
463,463,1342,Cincl_ouseti_ARTC417,Cinclodes oustaleti,oustaleti,Cinclodes oustaleti,Cinclodes oustaleti,Cinclodes oustaleti,Furnariidae,Cinclodes_oustaleti,
464,464,1342,Cincl_ouseti_ARTC417,Cinclodes oustaleti,oustaleti,Cinclodes oustaleti,Cinclodes oustaleti,Cinclodes oustaleti,Furnariidae,Cinclodes_oustaleti,
465,465,1328,Cincl_pabsti_GCMN1,Cinclodes pabsti,-,Cinclodes pabsti,Cinclodes pabsti,Cinclodes pabsti,Furnariidae,Cinclodes_pabsti,
466,466,1328,Cincl_pabsti_GCMN1,Cinclodes pabsti,-,Cinclodes pabsti,Cinclodes pabsti,Cinclodes pabsti,Furnariidae,Cinclodes_pabsti,
467,467,1348,Cincl_paltus_L103923,Cinclodes palliatus,-,Cinclodes palliatus,Cinclodes palliatus,Cinclodes palliatus,Furnariidae,Cinclodes_palliatus,
468,468,1348,Cincl_paltus_L103923,Cinclodes palliatus,-,Cinclodes palliatus,Cinclodes palliatus,Cinclodes palliatus,Furnariidae,Cinclodes_palliatus,
469,469,1348,Cincl_paltus_L103923,Cinclodes palliatus,-,Cinclodes palliatus,Cinclodes palliatus,Cinclodes palliatus,Furnariidae,Cinclodes_palliatus,
470,470,1352,Cincl_patgon_L56831,Cinclodes patagonicus,patagonicus,Cinclodes patagonicus,Cinclodes patagonicus,Cinclodes patagonicus,Furnariidae,Cinclodes_patagonicus,
471,471,1352,Cincl_patgon_L56831,Cinclodes patagonicus,patagonicus,Cinclodes patagonicus,Cinclodes patagonicus,Cinclodes patagonicus,Furnariidae,Cinclodes_patagonicus,
472,472,1352,Cincl_patgon_L56831,Cinclodes patagonicus,patagonicus,Cinclodes patagonicus,Cinclodes patagonicus,Cinclodes patagonicus,Furnariidae,Cinclodes_patagonicus,
473,473,1354,Cincl_tacski_L58461,Cinclodes taczanowskii,-,Cinclodes taczanowskii,Cinclodes taczanowskii,Cinclodes taczanowskii,Furnariidae,Cinclodes_taczanowskii,
474,474,1354,Cincl_tacski_L58461,Cinclodes taczanowskii,-,Cinclodes taczanowskii,Cinclodes taczanowskii,Cinclodes taczanowskii,Furnariidae,Cinclodes_taczanowskii,
475,475,1354,Cincl_tacski_L58461,Cinclodes taczanowskii,-,Cinclodes taczanowskii,Cinclodes taczanowskii,Cinclodes taczanowskii,Furnariidae,Cinclodes_taczanowskii,
476,476,1416,Cliba_denide_GCMN17,Clibanornis dendrocolaptoides,-,Clibanornis dendrocolaptoides,Clibanornis dendrocolaptoides,Clibanornis dendrocolaptoides,Furnariidae,Clibanornis_dendrocolaptoides,
477,477,1416,Cliba_denide_GCMN17,Clibanornis dendrocolaptoides,-,Clibanornis dendrocolaptoides,Clibanornis dendrocolaptoides,Clibanornis dendrocolaptoides,Furnariidae,Clibanornis_dendrocolaptoides,
478,478,1419,Cliba_erylus_L61296,Clibanornis erythrocephalus,palamblae ,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Furnariidae,Hylocryptus_erythrocephalus,
479,479,1418,Cliba_erylus_SB28253,Clibanornis erythrocephalus,erythrocephalus,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Furnariidae,Hylocryptus_erythrocephalus,
480,480,1419,Cliba_erylus_L61296,Clibanornis erythrocephalus,palamblae ,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Furnariidae,Hylocryptus_erythrocephalus,
481,481,1418,Cliba_erylus_SB28253,Clibanornis erythrocephalus,erythrocephalus,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Furnariidae,Hylocryptus_erythrocephalus,
482,482,1419,Cliba_erylus_L61296,Clibanornis erythrocephalus,palamblae ,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Clibanornis erythrocephalus,Furnariidae,Hylocryptus_erythrocephalus,
483,483,1414,Cliba_rectri_L3567,Clibanornis rectirostris,-,Clibanornis rectirostris,Clibanornis rectirostris,Clibanornis rectirostris,Furnariidae,Hylocryptus_rectirostris,
484,484,1414,Cliba_rectri_L3567,Clibanornis rectirostris,-,Clibanornis rectirostris,Clibanornis rectirostris,Clibanornis rectirostris,Furnariidae,Hylocryptus_rectirostris,
485,485,1414,Cliba_rectri_L3567,Clibanornis rectirostris,-,Clibanornis rectirostris,Clibanornis rectirostris,Clibanornis rectirostris,Furnariidae,Hylocryptus_rectirostris,
486,486,1422,Cliba_rubsus_ICAMC755,Clibanornis rubiginosus,cinnamomeigula,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus,Furnariidae,Automolus_rubiginosus,
487,487,1424,Cliba_rubsus_L11807,Clibanornis rubiginosus,nigricauda,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus,Furnariidae,Automolus_rubiginosus,
488,488,1426,Cliba_rubsus_SB11873,Clibanornis rubiginosus,obscurus,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus,Furnariidae,Automolus_rubiginosus,
489,489,1420,Cliba_rubsus_W109894,Clibanornis rubiginosus,veraepacis,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus,Furnariidae,Automolus_rubiginosus,
490,490,1422,Cliba_rubsus_ICAMC755,Clibanornis rubiginosus,cinnamomeigula,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus,Furnariidae,Automolus_rubiginosus,
491,491,1424,Cliba_rubsus_L11807,Clibanornis rubiginosus,nigricauda,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus,Furnariidae,Automolus_rubiginosus,
492,492,1426,Cliba_rubsus_SB11873,Clibanornis rubiginosus,obscurus,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus,Furnariidae,Automolus_rubiginosus,
493,493,1420,Cliba_rubsus_W109894,Clibanornis rubiginosus,veraepacis,Clibanornis rubiginosus,Clibanornis rubiginosus,Clibanornis rubiginosus,Furnariidae,Automolus_rubiginosus,
494,494,1428,Cliba_ruftus_IAvHBT11828,Clibanornis rufipectus,-,Clibanornis rufipectus,Clibanornis rufipectus,Clibanornis rufipectus,Furnariidae,Automolus_rubiginosus,
