,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.species,notes
799,1147,Dencol_hoffm_L25420,Dendrocolaptes hoffmannsi,-,Dendrocolaptes hoffmannsi,Dendrocolaptes hoffmannsi,Dendrocolaptes hoffmannsi,Dendrocolaptidae,,
800,1147,Dencol_hoffm_L25420,Dendrocolaptes hoffmannsi,-,Dendrocolaptes hoffmannsi,Dendrocolaptes hoffmannsi,Dendrocolaptes hoffmannsi,Dendrocolaptidae,,
801,1145,Dencol_picnus_L27943,Dendrocolaptes picumnus,validus,Dendrocolaptes picumnus,Dendrocolaptes picumnus,Dendrocolaptes picumnus,Dendrocolaptidae,,
802,1145,Dencol_picnus_L27943,Dendrocolaptes picumnus,validus,Dendrocolaptes picumnus,Dendrocolaptes picumnus,Dendrocolaptes picumnus,Dendrocolaptidae,,
803,1149,Dencol_platri_L25952,Dendrocolaptes platyrostris,platyrostris,Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,Dendrocolaptidae,,
804,1149,Dencol_platri_L25952,Dendrocolaptes platyrostris,platyrostris,Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,Dendrocolaptidae,,
805,1149,Dencol_platri_L25952,Dendrocolaptes platyrostris,platyrostris,Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,Dendrocolaptidae,,
806,1141,Dencol_sanmae_L60646,Dendrocolaptes sanctithomae,sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptidae,,
807,1141,Dencol_sanmae_L60646,Dendrocolaptes sanctithomae,sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptidae,,
808,1141,Dencol_sanmae_L60646,Dendrocolaptes sanctithomae,sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptidae,,
809,NA,,Dendrocolaptes sanctithomae,,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,Dendrocolaptes punctipectus,Dendrocolaptidae,,missing from tree and split by IUCN
810,1203,Denplex_kiene_LSUMZ25413,Dendroplex kienerii,-,Dendroplex kienerii,Dendroplex kienerii,Dendroplex kienerii,Dendrocolaptidae,,
811,1203,Denplex_kiene_LSUMZ25413,Dendroplex kienerii,-,Dendroplex kienerii,Dendroplex kienerii,Dendroplex kienerii,Dendrocolaptidae,,
812,1203,Denplex_kiene_LSUMZ25413,Dendroplex kienerii,-,Dendroplex kienerii,Dendroplex kienerii,Dendroplex kienerii,Dendrocolaptidae,,
813,1201,Denplex_picus_L25402,Dendroplex picus,picus,Dendroplex picus,Dendroplex picus,Dendroplex picus,Dendrocolaptidae,,
814,1201,Denplex_picus_L25402,Dendroplex picus,picus,Dendroplex picus,Dendroplex picus,Dendroplex picus,Dendrocolaptidae,,
815,387,Dichro_cincta_L10517,Dichrozona cincta,cincta,Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,Thamnophilidae,,
816,387,Dichro_cincta_L10517,Dichrozona cincta,cincta,Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,Thamnophilidae,,
817,389,Dichro_cincta_LSU6919,Dichrozona cincta,stellata,Dichrozona cincta,Dichrozona cincta,Dichrozona cincta,Thamnophilidae,,
