"","species","dr.statistic","tb.statistic","nh.statistic","div","elev.mid","elev.max","elev.range","lat.mid","lat.max","lat.range","temp","temp.stability","temp.seasonality","min.temp.cold.q","precip","precip.stability","precip.seasonality","min.precip.dry.q"
"Empinax_fulfron_W112498","Empinax_fulfron_W112498",-0.871748521043229,0.51642730501282,15.6547371159024,91,1800,3000,2400,24.7111206055002,34.2957153320001,19.1691894529999,167.1913559,76.12179149,4075.040008,43.98946187,779.3566259,147.0571069,85.96018021,32.64586763
"Empinax_atrcep_L28310","Empinax_atrcep_L28310",-0.871748521043229,0.51642730501282,15.6547371159024,61,2575,3300,1450,9.5342102055001,10.307922364,1.54742431699983,125.7872272,45.21579862,402.0946588,97.37662589,3517.415869,405.9810531,45.33114607,299.0135285
"Empinax_wrigh_L64538","Empinax_wrigh_L64538",-1.13338309532997,0.987425760636331,16.1923797357448,17,1250,2500,2500,41.2350158690003,50.3903198240002,18.3106079099999,97.07473737,117.1536243,8571.101613,-66.89466579,309.0591658,55.70302061,36.30329809,38.40946009
"Empinax_minim_A17530","Empinax_minim_A17530",-1.26072512144807,1.0688941009476,16.7327023051746,16,1180,1600,840,53.0059814455002,65.3416748050001,24.6713867189999,20.25826987,232.9259123,9573.001416,-149.4344498,498.7129781,195.0524219,45.53781667,62.41538994
"Empinax_occlis_W115396","Empinax_occlis_W115396",-0.712993963394827,0.0906219344088255,16.0897965129884,45,2050,3500,2900,37.6831970215001,57.1015014650002,38.8366088870001,94.29559002,135.5507029,7270.769257,-56.53517476,502.6242013,115.4460401,49.03224048,52.4114296
"Empinax_diffi_A15581","Empinax_diffi_A15581",-0.712993963394827,0.0906219344088255,16.0897965129884,16,1750,3500,3500,41.5517519510001,60.1740722660001,37.24464063,59.48477575,156.2212542,6324.022957,-54.34864428,1390.050854,314.1333193,48.18788319,139.8557501
"Empinax_flaves_L46480","Empinax_flaves_L46480",-1.09370867175805,0.598422129534383,16.689594173508,128,1900,3000,2200,13.9331970215002,17.4011230470001,6.9358520509999,188.5238413,42.07058729,1055.966854,132.365645,2009.244266,500.0879137,68.59415247,117.7700448
"Empinax_flaviven_L46790","Empinax_flaviven_L46790",-1.42344666667661,1.1705694733453,17.3091920140708,14,750,1500,1500,53.5596008295002,64.0604858390001,21.0017700189999,7.938877471,298.3638024,11591.89569,-203.6822509,673.7767275,337.6942021,40.02654736,99.58955195
"Empinax_alnor_A17507","Empinax_alnor_A17507",-0.961506094866743,0.331241436953879,16.6503006506508,15,650,1300,1300,54.7518005375002,68.2697143560001,27.0358276369999,6.246461279,258.5289628,11523.13639,-198.3133415,672.7835375,293.6217157,41.66969535,97.69918831
"Empinax_trail_LSU141724","Empinax_trail_LSU141724",-0.961506094866743,0.331241436953879,16.6503006506508,25,1250,2500,2500,44.6434020995001,56.0020751950001,22.717346191,95.67306407,174.2709877,8684.850923,-70.8591459,702.8161395,133.4852673,40.94295624,92.36833803
